domain,tranco_rank,category,theme,ip,server_header,primary_contact_email,all_emails,phones,socials,addresses,pages_checked,fetched_at
pearlspot.co.zw,,business,,172.96.161.16,Apache,sales@pearlspot.co.zw,sales@pearlspot.co.zw; ales@pearlspot.co.zw,+263779045285; +263 8612793033; +263 779 045 285,https://www.facebook.com/share/1F9w5ytYXt/?mibextid=wwXIfr; https://www.instagram.com/pearlspot_zimbabwe?igsh=ZTJvcHo4NDVpbmo2&utm_source=qr; https://zw.linkedin.com/company/pearlspot-zimbabwe?trk=public_profile_topcard-current-company,,"/,/about/,/contact",2026-05-04T21:08:46.305452+00:00
qb.co.zw,,business,customify,172.93.106.10,LiteSpeed,support@qb.co.zw,sales@qb.co.zw; support@qb.co.zw,+263773256450; +263778675077,https://www.facebook.com/QuickBooksZimbabweAgents,,"/,/about/,/contact",2026-05-04T21:08:46.305486+00:00
pcd.co.zw,,business,,129.232.213.109,Apache,info@pcd.co.zw,info@pcd.co.zw,+263 242 662654; +263 242 664684; +263 08644115901-10,https://www.facebook.com/pcdconsumershop?mibextid=ZbWKwL,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.305522+00:00
pestcontrolnetwork.co.zw,,business,,104.21.66.203,cloudflare,,,+263772593344,,,"/,/about/,/about-us/",2026-05-04T21:08:46.305547+00:00
psh.org.zw,,ngo,organic-farm,185.146.22.248,LiteSpeed,info@psh.org.zw,info@psh.org.zw,+263 242 339597; +263242339597,https://www.facebook.com/Population-Solutions-for-Health-102516732204769; https://twitter.com/PSHZim; https://www.linkedin.com/company/population-solutions-for-health/; https://www.instagram.com/pshzim/,,"/,/contact-us/,/contact",2026-05-04T21:08:46.305575+00:00
pfnsolar.co.zw,,business,,172.96.161.16,Apache,sales@pfnsolar.co.zw,sales@pfnsolar.co.zw,+263 787 326 776; +263780275205; +263780275202,https://www.facebook.com/pfnsolar/; https://twitter.com/PFNSOLARSYSTEMS; https://www.linkedin.com/company/pfn-solar-zimbabwe; https://www.instagram.com/pfn_solar_systems/,,"/,/index.php/contact-us/,/about/,/index.php/about-us/,/about-us/",2026-05-04T21:08:46.305613+00:00
noahsarkteams.co.zw,,business,,188.114.96.5,,,,+263 77 288 4509; +263 772 884 509; +263 715 417 867,https://www.facebook.com/BuidingWinningTeams; https://twitter.com/NoahsArkTeams; https://www.linkedin.com/company/noah-s-ark-team-building-services/,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.305635+00:00
pachikoro.co.zw,,other,,106.0.62.94,Apache,news@pachikoro.co.zw,news@pachikoro.co.zw,,,,"/,/about/",2026-05-04T21:08:46.305650+00:00
pacczim.ac.zw,,education,,144.91.88.223,Apache,enquiries@pacczim.ac.zw,enquiries@pacczim.ac.zw,,https://www.facebook.com/paccharare/,,"/,/about-pacc/,/about/,/contact-us/",2026-05-04T21:08:46.305675+00:00
progility.co.zw,,business,consultantpro,104.21.76.233,cloudflare,,,,https://www.facebook.com/; https://www.twitter.com/; https://www.linkedin.com/,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.305692+00:00
nzira.co.zw,,ecommerce,,87.117.234.111,Apache,sales@softrite.co.zw,sales@softrite.co.zw,0242 782 720,https://www.facebook.com/nziramagazine; https://www.instagram.com/nziramagazine/?hl=en,,"/,/about/,/about-us/",2026-05-04T21:08:46.305712+00:00
planthire.co.zw,,business,,188.114.97.5,cloudflare,,,,,,,2026-05-04T21:08:46.305722+00:00
onpointsolar.co.zw,,business,,188.114.97.5,cloudflare,,,0773813171; +263773813171,,,"/,/contact-us/,/contact",2026-05-04T21:08:46.305750+00:00
prochem.co.zw,,business,,162.211.86.33,Apache,,,+2634 - 669 754-8; +2634 - 664 750,https://www.facebook.com/prochemzim; https://www.instagram.com/prochemzimbabwe/,,"/,/about-us/prochem-in-pictures/,/about/,/about-us/quality-management-system/,/about-us/customer-care/",2026-05-04T21:08:46.305772+00:00
nashua.co.zw,,business,xtra-child,172.67.166.105,cloudflare,,,0242 756931-8 0778-298-002; 0800-4450; 0242 756931-8,https://www.facebook.com/NashuaZimbabwe/; https://zw.linkedin.com/company/nashuazimbabwe,,"/,/about/,/contact",2026-05-04T21:08:46.305790+00:00
orangesolar.co.zw,,business,,162.240.152.82,Apache,sales@orangesolar.co.zw,sales@orangesolar.co.zw; itai@orangesolar.co.za; hello@orangesolar.co.za,+263 242 746 011; +263 719 121 345,https://www.facebook.com/orangezim; https://www.linkedin.com/company/orangesolarzim; https://www.instagram.com/orangesolar_/,,"/,/about/,/contact-us/,/contact",2026-05-04T21:08:46.305821+00:00
nhc.co.zw,,government,,129.232.213.113,Apache,admin@nhc.co.zw,sales@nhc.co.zw; admin@nhc.co.zw,+263771721441; +263 771 721 441; +263 774 652 249,https://www.facebook.com/share/1A1Uj8vRRa/; https://www.instagram.com/nhcmd_zw/,,"/,/about/,/about-us/,/contact-us/,/contact-us-page/",2026-05-04T21:08:46.305839+00:00
premiummobility.co.zw,,ecommerce,,162.241.69.77,Apache,info@premiummobility.co.zw,info@premiummobility.co.zw,+263 776 819 826; 00263 123456789; +263 42 706 903-6,,,"/,/about/,/about-us/",2026-05-04T21:08:46.305860+00:00
righthaus.co.zw,,business,,188.114.96.5,cloudflare,,,,,,/,2026-05-04T21:08:46.305876+00:00
novicwater.co.zw,,ecommerce,,99.198.109.66,Apache,sales@novicwater.co.zw,sales@novicwater.co.zw; email@example.com,+263 54 225 116; +263 772 403 830,https://www.facebook.com/Novic-Purified-Water-991211434326224,,"/,/contact-us-2/,/about/,/about-us/,/contact-us/",2026-05-04T21:08:46.305900+00:00
nectacare.co.zw,,business,,196.43.101.198,,,,08677 200 200; 08677 200 200 08080 015; 08080 221,https://www.facebook.com/CellInsurance ; https://www.linkedin.com/company/cell-insurance-company/ ; https://www.instagram.com/cellinsurancezw/?hl=en ; https://x.com/CellInsurance1 ; https://www.facebook.com/nectacare; https://www.linkedin.com/company/nectacare,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.305916+00:00
propshaftscenter.co.zw,,business,,188.114.97.5,cloudflare,,,+263 242 770638-43; 0772 470 665; 0242 770638-43,,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.305940+00:00
rank.co.zw,,ecommerce,,162.241.127.51,Apache,sales@rank.co.zw,sales@rank.co.zw,+263789554130; 08644122740; +263 772 148 555,http://www.facebook.com/rankzim; https://www.instagram.com/rankstationeryzimbabwe/,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.305965+00:00
peakwoodvillage.co.zw,,other,,87.117.234.111,Apache,Kundai.masenda@pamgolding.co.zw,Kundai.masenda@pamgolding.co.zw; Lorraine.kruger@pamgolding.co.zw; Solomon.tanyanyiwa@pamgolding.co.zw; Paul.kwambana@pamgolding.co.zw; Angela.jenkins@pamgolding.co.zw,+263 772 204 317; +263 773 248 111; +263773 339 988,,,"/,/about/,/contact",2026-05-04T21:08:46.305979+00:00
reeldon.co.zw,,business,,87.117.234.111,Apache,sales@reeldon.co.zw,sales@reeldon.co.zw; ctembo@reeldon.co.zw; kksunhwa@reeldon.co.zw; lchinorwiwa@reeldon.co.zw; 484schitondwe@reeldon.co.zw,+263 71 457 0824; +263775 091 885; +263772 416 484,https://www.facebook.com/Reeldon-Timbers-105558554829593,,"/,/about/,/contact",2026-05-04T21:08:46.306012+00:00
radiozim.co.zw,,news,proradio,188.114.96.5,cloudflare,,,0000 - 0300; 0300 - 0600; +263 242 2761734,,,"/,/contact",2026-05-04T21:08:46.306033+00:00
qutanga.co.zw,,blog,,173.252.167.110,,,,,,,"/,/contact",2026-05-04T21:08:46.306044+00:00
sabarm.co.zw,,business,,185.150.189.233,Apache,,,,https://www.facebook.com/sabarm.co.zw/; https://x.com/sabarmtaxsol; https://www.linkedin.com/in/sabarm-business-solutions-512713209; https://www.instagram.com/sabarmtaxsol/,,"/,/about/",2026-05-04T21:08:46.306052+00:00
propertytrack.co.zw,,business,yreg-estate,149.255.62.168,nginx,info@propertytrack.co.zw,info@propertytrack.co.zw,+263 773 032 428,https://www.facebook.com/propertytrack.africa; https://twitter.com/property_track; https://www.instagram.com/property_track3/; https://www.facebook.com/elvis.benhura; https://www.linkedin.com/in/elvis-benhura-00456b61/,,"/,/about/,/about-property-track/,/about-property-track/our-agents/,/about-property-track/membership-partnership/",2026-05-04T21:08:46.306071+00:00
outofafrica.co.zw,,business,,129.232.213.109,cloudflare,,,,https://www.facebook.com/outofafricamedia/,,"/,/contact",2026-05-04T21:08:46.306085+00:00
petrotrade.co.zw,,business,,129.232.213.109,Apache,pr@petrotrade.co.zw,pr@petrotrade.co.zw,+263 8677007214; +263 775 191 914; +263 774 443 261,https://twitter.com/PetrotradeZW; https://www.facebook.com/PetrotradeOfficialPage; https://www.instagram.com/petrotrade_zw/,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.306108+00:00
plumtreetowncouncil.co.zw,,government,,188.114.96.5,cloudflare,,,+263-89-2806077; 0771896581; +263-89-2805202,https://www.facebook.com/plumtreeinfo/; https://twitter.com/plumtreetown?lang=en; https://www.instagram.com/plumtreetowncouncil; https://instagram.com/plumtreetowncouncil,,"/,/about/,/contact-us/,/contact",2026-05-04T21:08:46.306130+00:00
pmiz.org.zw,,other,,41.85.192.2,Apache,,,,,,,2026-05-04T21:08:46.306146+00:00
prochoiceagritec.co.zw,,business,,102.177.72.79,Apache,admin@prochoiceagritec.co.zw,office@example.com; contact@example.com; admin@prochoiceagritec.co.zw,+263 772 737 370,,,"/,/contact-us/",2026-05-04T21:08:46.306170+00:00
search.co.zw,,business,searchv11,107.6.176.102,,hello@search.co.zw,hello@search.co.zw,+263 8677 117 743; +263 0779 497 999,https//facebook.com/searchzimbabwe,,"/,/about/,/contact",2026-05-04T21:08:46.306184+00:00
realsound.co.zw,,business,,169.239.218.63,LiteSpeed,,,,,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.306199+00:00
sanitationservices.co.zw,,business,Divi,172.67.163.138,cloudflare,,,+263 4 770 519; +263 772 702 415,,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.306217+00:00
partyplug.co.zw,,business,elessi-theme,67.222.24.24,LiteSpeed,,,,,,,2026-05-04T21:08:46.306233+00:00
ourbyo.co.zw,,business,Divi,144.208.108.189,Apache,info@ourbyo.co.zw,yourbusiness@ourbyo.co.zw; info@ourbyo.co.zw,0777 960 817,https://www.facebook.com/MyByoWebsites/,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.306257+00:00
primalair.co.zw,,business,,149.255.58.79,nginx,support@primalair.co.zw,support@primalair.co.zw,+263 779 215 584,https://www.facebook.com/Primalairsolutions?rdid=BivuBStMTrzZj4g0&share_url=https%3A%2F%2Fwww.facebook.com%2Fshare%2F1AQW53sKeV%2F#; https://x.com/PrimalAirCon?t=bbJ3MU0CD4kC6l5YSLYLog&s=09,,"/,/about/,/contact-us/,/contact",2026-05-04T21:08:46.306290+00:00
primedental.co.zw,,business,,102.177.72.79,Apache,,,,,,,2026-05-04T21:08:46.306301+00:00
programs.imbahub.co.zw,,education,hello-elementor,198.38.90.50,LiteSpeed,marketing@imbhub.co.zw,marketing@imbhub.co.zw; marketing@imbahub.co.zw,+263 781 500 163; +263 714 593 356; +263 714 593 345,,,"/,/contact-us/,/contact",2026-05-04T21:08:46.306322+00:00
scanlink.co.zw,,business,Divi,149.255.62.153,nginx,,,,,,/,2026-05-04T21:08:46.306339+00:00
ravenduchess.co.zw,,blog,,192.138.189.196,LiteSpeed,,,,https://instagram.com/ravenduchesszw?igshid=OGQ5ZDc2ODk2ZA==; https://www.facebook.com/RavenrueDuchess?mibextid=LQQJ4d,,/,2026-05-04T21:08:46.306348+00:00
reeflite.co.zw,,other,,188.114.96.5,cloudflare,,,+263 772 663 432; 0772 663 432,https://www.facebook.com/profile.php?id=100088776876104,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.306376+00:00
revitusreit.co.zw,,business,,129.232.213.100,Apache,tmuzadzi@cbz.co.zw,tmuzadzi@cbz.co.zw; Lloyd.mlotswa.@ih.com; Lloyd.mlotshwa.@ih.com; support@revitusreit.com,+263 4 783069-71,,,"/,/about/,/about-us/background/,/about-us/,/contact-us/",2026-05-04T21:08:46.306402+00:00
sbsgroup.co.zw,,business,hello-elementor,149.255.58.79,nginx,info@sbsgroup.co.zw,info@sbsgroup.co.zw; munya@sbsgroup.co.zw; hazel@sbsgroup.co.zw; oppah@sbsgroup.co.zw,+263772339679; +263774110997; +263772 575 721,https://www.facebook.com/SBSGroupZimbabwe/; https://twitter.com/SBSGroupZim; https://www.facebook.com/SBSGroupZimbabwe,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.306436+00:00
redblue.co.zw,,business,,149.255.62.136,nginx,projects@redblue.co.zw,projects@redblue.co.zw; izingoni@redblue.co.zw; loveness@redblue.co.zw,+263 776 851 891; +263 779 583 167,,,"/,/about/,/contact",2026-05-04T21:08:46.306463+00:00
sealachem.co.zw,,business,,172.67.181.12,cloudflare,,,+263 8612 777 000; +263 786 939 282; +263 712 213 608,https://www.facebook.com/Sealachem; https://www.instagram.com/sealachem.zim/,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.306474+00:00
sayspring.co.zw,,business,twentytwenty,168.235.125.170,LiteSpeed,consultancy@sayspring.co.zw,consultancy@sayspring.co.zw; sayspringcons@gmail.com,+263 867 717 1086; +263 71 796 0818; +263 78 617 4094,https://www.facebook.com/sayspringconsultancy; https://twitter.com/SayspringPvtLtd; https://instagram.com/sayspringconsultancy,,"/,/about/",2026-05-04T21:08:46.306498+00:00
showcaseit.co.zw,,business,,172.96.161.16,Apache,info@showcaseit.co.zw,info@showcaseit.co.zw,+263 77 254 8792,https://facebook.com/Showcase-It; https://instagram.com/Showcase%20It; https://linkedin.com/company/@show_case_it,,/,2026-05-04T21:08:46.306514+00:00
siontools.co.zw,,business,,188.114.97.5,,,,,https://www.facebook.com/hacklink.official/; https://x.com/hacklinkpanel; https://x.com/_Marsbahis_xTR; https://x.com/Marsbahistelegr; https://x.com/MeritKingiris_x; https://x.com/MeritkingHaber_,,/,2026-05-04T21:08:46.306530+00:00
skyport.co.zw,,business,,148.251.13.105,Apache,joshua.si%6Ccoc%6B%40ca%72d%69na%6Cco%72p.co.zw,joshua.si%6Ccoc%6B%40ca%72d%69na%6Cco%72p.co.zw; mor%65%62les%73%69%6Eg.tader%65%72a@ca%72dinalcorp.c%6F.z%77; joshua.silcock@cardinalcorp.co.zw; moreblessing.taderera@cardinalcorp.co.zw,+263 772 200 135; +263 772 902 990,,,/,2026-05-04T21:08:46.306546+00:00
shekinahglory.org.zw,,ngo,astra,198.23.61.111,LiteSpeed,admin@shekinahglory.org.zw,admin@shekinahglory.org.zw; jbvekwa@shekinahglory.org.zw,+263 783 938 654; +263 77 277 9604; +263 77 469 1910,https://www.facebook.com/www.shekinahglory.org.zw/; https://www.instagram.com/shekinah_glory_org/; https://x.com/Shekinagloryorg,,"/,/contact",2026-05-04T21:08:46.306561+00:00
shelter.co.zw,,business,,41.85.192.2,Apache,sales@shelter.co.zw,sales@shelter.co.zw  /  sales@etoshagardens.co.zw; sales@shelter.co.zw; sales@etoshagardens.co.zw,,https://x.com/ZimbabweSh93844?t=pB1mDhegIraySbIi1Ee9Cg&s=09; https://www.instagram.com/shelter_zimbabwe/; https://www.linkedin.com/company/shelterzimbabwe//,,/,2026-05-04T21:08:46.306588+00:00
ladsafrica.co.zw,,other,,217.76.49.85,Apache,admin@ladsafrica.co.zw,admin@ladsafrica.co.zw,+263 773 068 901; +263 8644 284355,https://www.facebook.com/LADSAfrica; https://twitter.com/AfricaLads?t=gx41Q6iu7kA6yK0Q9kd4wQ&s=09; https://instagram.com/lads.africa?igshid=NTc4MTIwNjQ2YQ,,"/,/about/",2026-05-04T21:08:46.306616+00:00
pestportal.co.zw,,business,,188.114.96.5,cloudflare,,,0772593344,,,"/,/about/our-privacy-policy/,/contact-us/our-coverage/",2026-05-04T21:08:46.306636+00:00
skinnersauto.co.zw,,business,,209.42.24.95,,enquiries@skinnersauto.co.zw,enquiries@skinners.co.zw; enquiries@skinnersauto.co.zw,,,,"/,/about/,/about-us/,/contact",2026-05-04T21:08:46.306659+00:00
rgmshe.gzu.ac.zw,,education,,196.43.101.214,Apache,dmadzanire@gzu.ac.zw,dmadzanire@gzu.ac.zw; tchipatiso@gzu.ac.zw; bbanda@gzu.ac.zw; gkamwaza@gzu.ac.zw; mmanyanga@gzu.ac.zw,039 288 866; +263 39 2266648; +263782780662,https://www.facebook.com/profile.php?id=100067718961478; https://x.com/GreatZimUni; https://www.linkedin.com/school/great-zimbabwe-university,,"/,/about/,/contact",2026-05-04T21:08:46.306689+00:00
silveirahouse.org.zw,,ngo,neve,156.38.193.83,Apache,info@silveirahouse.org.zw,info@silveirahouse.org.zw; programmes@silveirahouse.org.zw; director@silveirahouse.org.zw,,https://www.facebook.com/SilveiraHouse64; https://twitter.com/SilveiraHouse64; https://www.facebook.com/plugins/like.php?href=https://silveirahouse.org.zw/; https://www.facebook.com/sharer/sharer.php?u=https://silveirahouse.org.zw/&display=popup&ref=plugin&src=share_button; https://twitter.com/share?url=https://silveirahouse.org.zw/&text=Home; https://www.linkedin.com/shareArticle?mini=true&url=https://silveirahouse.org.zw/; https://www.facebook.com/plugins/like.php?href=https://silveirahouse.org.zw/about-us/; https://www.facebook.com/sharer/sharer.php?u=https://silveirahouse.org.zw/about-us/&display=popup&ref=plugin&src=share_button; https://twitter.com/share?url=https://silveirahouse.org.zw/about-us/&text=About%20Us; https://www.linkedin.com/shareArticle?mini=true&url=https://silveirahouse.org.zw/about-us/; https://www.facebook.com/plugins/like.php?href=https://silveirahouse.org.zw/contact-us/; https://www.facebook.com/sharer/sharer.php?u=https://silveirahouse.org.zw/contact-us/&display=popup&ref=plugin&src=share_button; https://twitter.com/share?url=https://silveirahouse.org.zw/contact-us/&text=Contact%20Us; https://www.linkedin.com/shareArticle?mini=true&url=https://silveirahouse.org.zw/contact-us/,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.306730+00:00
popandplay.co.zw,,business,,172.96.161.16,Apache,,,,,,,2026-05-04T21:08:46.306760+00:00
rhodesnyangahotel.co.zw,,other,,188.114.97.5,cloudflare,,,+263774073300,,,"/,/contact",2026-05-04T21:08:46.306774+00:00
skyview.co.zw,,business,,188.114.96.5,cloudflare,,,+263771052111,https://facebook.com/skyviewearthmoving,,"/,/about/,/about-us/,/contact",2026-05-04T21:08:46.306795+00:00
ravenshield.co.zw,,business,,129.232.213.109,Apache,info@ravenshield.co.zw,info@ravenshield.co.zw,+263 242 309 782; +263 242 747 237; +263 714 408 036,https://www.facebook.com/AncoraThemes/; https://twitter.com/themes_ancora; https://www.instagram.com/ancora_themes/,,"/,/about/,/about-us/,/contact",2026-05-04T21:08:46.306819+00:00
sentinel.co.zw,,business,,129.232.223.42,Apache,info@sentinel.co.zw,info@sentinel.co.zw; telematics@sentinel.co.zw,+263 24 2006157; +263 773 589461; +263 772568361,https://www.facebook.com/SentinelZW01,,"/,/about/,/about-us/,/contact/privacy-policy/",2026-05-04T21:08:46.306848+00:00
secnet.co.zw,,education,,20.164.200.23,nginx,admissions@secnet.co.zw,admissions@secnet.co.zw; office@example.org,+263784478257 114; +263784478257,,,"/,/about/,/contact-us/,/contact",2026-05-04T21:08:46.306869+00:00
prep.abbeys.co.zw,,education,popularfx,156.38.193.83,Apache,,,,,,,2026-05-04T21:08:46.306881+00:00
qualitysurveillance.co.zw,,business,,104.21.19.157,cloudflare,,,,,,,2026-05-04T21:08:46.306888+00:00
septic-emptying.co.zw,,business,,172.67.149.59,cloudflare,,,0777214124; 0716044263,,,"/,/contact",2026-05-04T21:08:46.306901+00:00
rdconsulting.co.zw,,business,,87.117.234.111,Apache,info@rdconsulting.co.zw,info@rdconsulting.co.zw,+263 77 248 9027; +263 242 745465,https://www.facebook.com/DumiNgwen; https://twitter.com/RDConsulting4; https://www.linkedin.com/company/r&d-business-and-management-consultancy/,,"/,/about/,/contact-us/,/contact",2026-05-04T21:08:46.306934+00:00
sapes.org.zw,,ngo,use,129.232.213.109,Apache,info@sapestrust.org.zw,info@sapestrust.org.zw,,,,"/,/about/,/about-us/",2026-05-04T21:08:46.306955+00:00
specialistsjunior.co.zw,,education,,185.150.189.233,Apache,,,,,,,2026-05-04T21:08:46.306976+00:00
preschool.abbeys.co.zw,,education,popularfx,156.38.193.83,Apache,,,,,,,2026-05-04T21:08:46.306997+00:00
starpainters.co.zw,,business,,148.72.177.82,LiteSpeed,info@starpainters.co.zw,info@starpainters.co.zw; sales@starpainters.co.zw,+263 784 022 907; +263 772 000 000,https://www.facebook.com/profile.php?id=100063497623140; https://x.com/StarPaintersZW; https://www.linkedin.com/company/star-painterszw; https://www.instagram.com/starpainterszw,,"/,/about/,/contact",2026-05-04T21:08:46.307016+00:00
orleanscarrental.co.zw,,ecommerce,,198.175.150.250,LiteSpeed,info@orleanscarrental.co.zw,info@orleanscarrental.co.zw,+263780872118,,,"/,/about/,/about-us/",2026-05-04T21:08:46.307036+00:00
petals.co.zw,,business,,188.114.96.5,cloudflare,,,0242 664 821-2; 0242 664 821,,,"/,/about/,/contact",2026-05-04T21:08:46.307054+00:00
shumbacoopers.co.zw,,business,,50.6.168.183,Apache,,,+263 86 7700 0329; +263 242 486134; +263 86 7700 0328,,,"/,/about/,/contact-us/,/contact",2026-05-04T21:08:46.307064+00:00
stateofthenation.co.zw,,other,,164.160.91.30,LiteSpeed,,,,https://twitter.com/stateofthenaZW,,/,2026-05-04T21:08:46.307078+00:00
standardglobal.co.zw,,business,,156.38.193.83,Apache,info@standardglobal.co.zw,info@standardglobal.co.zw; faith@standardglobal.co.zw; causemore@standardglobal.co.zw; lucia@standardglobal.co.zw; cornwell@standardglobal.co.zw,+263 772 875 577; +263 776 638 588; +263 773 809 960,https://www.facebook.com/Standard-Global-Communications-298336547041220/; https://www.linkedin.com/company/standard-global-communications/; https://twitter.com/SgcComs1,,"/,/about-us/,/contact-us/,/support/escallation-of-support/escalation-support-services-contacts/",2026-05-04T21:08:46.307100+00:00
specsaversopticians.co.zw,,ecommerce,,185.150.189.233,Apache,,,,,,,2026-05-04T21:08:46.307115+00:00
sterlinghospital.co.zw,,business,,31.170.162.137,LiteSpeed,admin@sterlinghospital.co.zw,admin@sterlinghospital.co.zw,0719370380,,,"/,/about/,/about-us/,/contact",2026-05-04T21:08:46.307136+00:00
sbs.co.zw,,business,dt-the7,106.0.62.94,Apache,,,+263 242 447 958; +263 242 447 959; +263 780 330 551,https://www.facebook.com/Smart-Building-Solutions-1435455623450926/timeline; https://www.facebook.com/SBSZimbabwe,,"/,/about/,/about-us/,/contact",2026-05-04T21:08:46.307151+00:00
questtravel.co.zw,,business,astra,172.96.161.16,Apache,,,,,,,2026-05-04T21:08:46.307165+00:00
suzukiassoc.co.zw,,ngo,,172.67.195.162,cloudflare,,,,,,,2026-05-04T21:08:46.307194+00:00
smsmhs.gzu.ac.zw,,education,,196.43.101.214,Apache,mmutanda@gzu.ac.zw,mmutanda@gzu.ac.zw; bmusekiwa@gzu.ac.zw; jmufunda@gzu.ac.zw; info@gzu.ac.zw; medicalschool@gzu.ac.zw,+263 39 2266838; +263771452475; +263780888984,https://www.facebook.com/profile.php?id=100067718961478; https://x.com/GreatZimUni; https://www.linkedin.com/school/great-zimbabwe-university,,"/,/about/,/contact",2026-05-04T21:08:46.307213+00:00
tdih.co.zw,,blog,,149.255.62.113,,,,+263716197960,https://twitter.com/onthisday_zw; https://www.facebook.com/On-this-day-in-Zimbabwe-104922772075299,,"/,/about/",2026-05-04T21:08:46.307237+00:00
springbase.co.zw,,business,,72.52.228.2,Apache,,,,,,,2026-05-04T21:08:46.307250+00:00
stattorneys.co.zw,,business,,194.110.243.35,,,,,,,,2026-05-04T21:08:46.307260+00:00
talent.co.zw,,business,,148.251.13.105,Apache,hello@talent.co.zw,he%6Clo@%74a%6Cen%74.co.zw; hello@talent.co.zw; hello@%74alent.%63%6F.%7Aw,+263 773 095 317,,,"/,/about/,/contact",2026-05-04T21:08:46.307278+00:00
ntsgroup.co.zw,,business,,129.232.213.107,Apache,nts@ntsgroup.co.zw,nts@ntsgroup.co.zw; +263 242771222/38,+263 242771222-38; +263 242771222; +263 242-771225-38,https://www.facebook.com/ntslimited?mibextid=ZbWKwL; https://twitter.com/ntszim/; https://www.instagram.com/invites/contact/?i=1k9o3govqb6zc&utm_content=oaff2dz; https://zw.linkedin.com/company/national-tyre-services-limited,,"/,/about/,/contact",2026-05-04T21:08:46.307307+00:00
royalvacations.co.zw,,business,,172.96.161.16,Apache,,,,,,"/,/about/,/contact",2026-05-04T21:08:46.307322+00:00
sustenergy.co.zw,,business,,198.23.59.195,LiteSpeed,admin@sustenergy.co.zw,admin@sustenergy.co.zw,+263 24 257 8001; +263 71 904 8088; +263 719 048 088,https://www.facebook.com/sustenergy.co.zw/; https://x.com/Sustenergy2?mx=2; https://www.linkedin.com/company/sustenergy-pvt-ltd/; https://www.facebook.com/sustenergy.co.zw,,"/,/about/,/about-us/,/contact",2026-05-04T21:08:46.307348+00:00
sopconsulting.co.zw,,business,,172.96.161.16,Apache,consult@sopconsulting.co.zw,consult@sopconsulting.co.zw,+263 776 183 963; +263 242 496183; +263 776183963,http://facebook.com/SOPHRConsulting; https://www.instagram.com/sopconsult/; https://www.linkedin.com/company/sop-hr-consulting,,"/,/about/,/contact",2026-05-04T21:08:46.307383+00:00
sbminnovations.co.zw,,business,astra,149.102.154.62,nginx,,,,,,,2026-05-04T21:08:46.307399+00:00
terezim.co.zw,,business,,192.250.239.60,,admin@terezim.co.zw,mutsachikede@terezim.co.zw; davidmutamba@terezim.co.zw; admin@terezim.co.zw,+263443890,https://www.facebook.com/terezimfortressproperties; https://www.linkedin.com/posts/terezim-fortress-properties-zimbabawe_stand-for-sale-hydon-park-65k-1359-m2-activity-7294927159251345409-0i4_?utm_source=share&utm_medium=member_desktop&rcm=ACoAAA0ZJUQBvuNN7S-cs50WAphr_pI-mNeRor8; https://www.instagram.com/terezimproperties?igsh=dTY0ZTF3NnBxdWp4,,"/,/about/,/contact",2026-05-04T21:08:46.307432+00:00
softrite.co.zw,,business,,87.117.234.111,Apache,vicky@softrite.co.zw,vicky@softrite.co.zw; adam@softrite.co.zw; barbara@softrite.co.zw; jackie@softrite.co.zw; vickyt@softrite.co.zw,+263 787 127 028; +263 772 443 635,https://www.facebook.com/Softrite/; https://www.linkedin.com/company/softritepvt-ltd/mycompany/,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.307759+00:00
thegray.co.zw,,business,,188.114.97.5,cloudflare,,,,,,,2026-05-04T21:08:46.307863+00:00
springhubpublishing.co.zw,,business,,188.114.96.5,cloudflare,,,,,,,2026-05-04T21:08:46.307946+00:00
startupbiz.co.zw,,blog,,192.138.189.196,LiteSpeed,shop@startupbiz.co.zw,shop@startupbiz.co.zw,+263 778 798 072; +263 242 761232; +263778798072,https://www.facebook.com/zimstartupbiz,,"/,/about/,/about/contact-us/,/about-us/,/contact-us/",2026-05-04T21:08:46.307991+00:00
thedeck.co.zw,,ecommerce,,188.114.96.5,cloudflare,,,+263771412321,https://www.instagram.com/thedeck_atqueen/,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.308097+00:00
